ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;01a;Tasse e contributi per iscrizione e frequenza;0;57320,51;551512,69;57320,51
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;02a;Tasse per esami di ammissione ed esami finali;0;0;4560;0
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;03a;Tassa regionale per il DSU versata all'Istituto;0;5740;201040;5740
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;04 ;Diritti di segreteria;0;3600;0;3600
2024-2025;082101082053;Accademie delle Belle Arti;;PALERMO;05 ;Altro da studenti non costituenti gettito;0;656;22976;656
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;01a;Tasse e contributi per iscrizione e frequenza;0;0;792286;0
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;02a;Tasse per esami di ammissione ed esami finali;0;0;0;0
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;299460;0
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;04 ;Diritti di segreteria;0;0;22100;0
2024-2025;087101087015;Accademie delle Belle Arti;;CATANIA;05 ;Altro da studenti non costituenti gettito;0;0;34928;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;01a;Tasse e contributi per iscrizione e frequenza;0;0;199570,92;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;02a;Tasse per esami di ammissione ed esami finali;0;0;1200;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;04 ;Diritti di segreteria;0;0;10380;0
2024-2025;090101090064;Accademie delle Belle Arti;Mario Sironi;SASSARI;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;01a;Tasse e contributi per iscrizione e frequenza;0;164087,71;162417;164087,71
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;02a;Tasse per esami di ammissione ed esami finali;0;1300;92600;1300
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;700;11200;700
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;058202058091;Accademia Nazionale di Arte Drammatica;Silvio D'Amico;ROMA;05 ;Altro da studenti non costituenti gettito;0;832;1280;832
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;01a;Tasse e contributi per iscrizione e frequenza;139500;0;255631;0
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;02a;Tasse per esami di ammissione ed esami finali;2540;0;8840,91;0
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;45220;0
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;04 ;Diritti di segreteria;0;0;3581;0
2024-2025;058303058091;Accademia Nazionale di Danza;;ROMA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;01a;Tasse e contributi per iscrizione e frequenza;137438;0;705184,38;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;02a;Tasse per esami di ammissione ed esami finali;2280;0;15070;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;65800;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;04 ;Diritti di segreteria;2400;0;15780;0
