freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT109,CLSS,9,2,1A,2011,388.0,2011
A,IT109,CLSS,9,2,1A,2012,369.0,2012
A,IT109,CLSS,9,2,1A,2013,372.0,2013
A,IT109,CLSS,9,2,1A,2014,381.0,2014
A,IT109,CLSS,9,2,2,2010,5.0,2010
A,IT109,CLSS,9,2,2,2011,5.0,2011
A,IT109,CLSS,9,2,2,2012,5.0,2012
A,IT109,CLSS,9,2,2,2013,5.0,2013
A,IT109,CLSS,9,2,2,2014,5.0,2014
A,IT109,CLSS,9,2,9,2010,402.0,2010
A,IT109,CLSS,9,2,9,2011,393.0,2011
A,IT109,CLSS,9,2,9,2012,374.0,2012
A,IT109,CLSS,9,2,9,2013,377.0,2013
A,IT109,CLSS,9,2,9,2014,386.0,2014
A,IT109,ENR,9,2,1,2010,7525.0,2010
A,IT109,ENR,9,2,1,2011,7406.0,2011
A,IT109,ENR,9,2,1,2012,7313.0,2012
A,IT109,ENR,9,2,1,2013,7307.0,2013
A,IT109,ENR,9,2,1,2014,7264.0,2014
A,IT109,ENR,9,2,1A,2010,7525.0,2010
A,IT109,ENR,9,2,1A,2011,7406.0,2011
A,IT109,ENR,9,2,1A,2012,7313.0,2012
A,IT109,ENR,9,2,1A,2013,7307.0,2013
A,IT109,ENR,9,2,1A,2014,7264.0,2014
A,IT109,ENR,9,2,2,2010,88.0,2010
A,IT109,ENR,9,2,2,2011,86.0,2011
A,IT109,ENR,9,2,2,2012,91.0,2012
A,IT109,ENR,9,2,2,2013,100.0,2013
A,IT109,ENR,9,2,2,2014,101.0,2014
A,IT109,ENR,9,2,9,2010,7613.0,2010
A,IT109,ENR,9,2,9,2011,7492.0,2011
A,IT109,ENR,9,2,9,2012,7404.0,2012
A,IT109,ENR,9,2,9,2013,7407.0,2013
A,IT109,ENR,9,2,9,2014,7365.0,2014
A,IT109,ENR_F,9,2,1,2010,3625.0,2010
A,IT109,ENR_F,9,2,1,2011,3583.0,2011
A,IT109,ENR_F,9,2,1,2012,3527.0,2012
A,IT109,ENR_F,9,2,1,2013,3561.0,2013
A,IT109,ENR_F,9,2,1,2014,3531.0,2014
A,IT109,ENR_F,9,2,1A,2010,3625.0,2010
A,IT109,ENR_F,9,2,1A,2011,3583.0,2011
A,IT109,ENR_F,9,2,1A,2012,3527.0,2012
A,IT109,ENR_F,9,2,1A,2013,3561.0,2013
A,IT109,ENR_F,9,2,1A,2014,3531.0,2014
A,IT109,ENR_F,9,2,2,2010,48.0,2010
A,IT109,ENR_F,9,2,2,2011,48.0,2011
A,IT109,ENR_F,9,2,2,2012,45.0,2012
A,IT109,ENR_F,9,2,2,2013,48.0,2013
A,IT109,ENR_F,9,2,2,2014,51.0,2014
A,IT109,ENR_F,9,2,9,2010,3673.0,2010
A,IT109,ENR_F,9,2,9,2011,3631.0,2011
A,IT109,ENR_F,9,2,9,2012,3572.0,2012
A,IT109,ENR_F,9,2,9,2013,3609.0,2013
A,IT109,ENR_F,9,2,9,2014,3582.0,2014
A,IT109,REP,9,2,1,2010,21.0,2010
A,IT109,REP,9,2,1,2011,19.0,2011
A,IT109,REP,9,2,1,2012,13.0,2012
A,IT109,REP,9,2,1,2013,20.0,2013
A,IT109,REP,9,2,1,2014,34.0,2014
A,IT109,REP,9,2,1A,2010,21.0,2010
A,IT109,REP,9,2,1A,2011,19.0,2011
A,IT109,REP,9,2,1A,2012,13.0,2012
A,IT109,REP,9,2,1A,2013,20.0,2013
A,IT109,REP,9,2,1A,2014,34.0,2014
A,IT109,REP,9,2,2,2010,0.0,2010
A,IT109,REP,9,2,2,2011,0.0,2011
A,IT109,REP,9,2,2,2012,0.0,2012
A,IT109,REP,9,2,2,2013,0.0,2013
A,IT109,REP,9,2,2,2014,0.0,2014
A,IT109,REP,9,2,9,2010,21.0,2010
A,IT109,REP,9,2,9,2011,19.0,2011
A,IT109,REP,9,2,9,2012,13.0,2012
A,IT109,REP,9,2,9,2013,20.0,2013
A,IT109,REP,9,2,9,2014,34.0,2014
A,IT109,REP_F,9,2,1,2010,9.0,2010
A,IT109,REP_F,9,2,1,2011,6.0,2011
A,IT109,REP_F,9,2,1,2012,5.0,2012
A,IT109,REP_F,9,2,1,2013,9.0,2013
A,IT109,REP_F,9,2,1,2014,15.0,2014
A,IT109,REP_F,9,2,1A,2010,9.0,2010
A,IT109,REP_F,9,2,1A,2011,6.0,2011
A,IT109,REP_F,9,2,1A,2012,5.0,2012
A,IT109,REP_F,9,2,1A,2013,9.0,2013
A,IT109,REP_F,9,2,1A,2014,15.0,2014
A,IT109,REP_F,9,2,2,2010,0.0,2010
A,IT109,REP_F,9,2,2,2011,0.0,2011
A,IT109,REP_F,9,2,2,2012,0.0,2012
A,IT109,REP_F,9,2,2,2013,0.0,2013
A,IT109,REP_F,9,2,2,2014,0.0,2014
A,IT109,REP_F,9,2,9,2010,9.0,2010
A,IT109,REP_F,9,2,9,2011,6.0,2011
A,IT109,REP_F,9,2,9,2012,5.0,2012
A,IT109,REP_F,9,2,9,2013,9.0,2013
A,IT109,REP_F,9,2,9,2014,15.0,2014
A,IT109,FOR_ST,9,2,1,2010,1137.0,2010
A,IT109,FOR_ST,9,2,1,2011,1093.0,2011
A,IT109,FOR_ST,9,2,1,2012,1073.0,2012
A,IT109,FOR_ST,9,2,1,2013,1205.0,2013
A,IT109,FOR_ST,9,2,1,2014,1151.0,2014
A,IT109,FOR_ST,9,2,1A,2010,1137.0,2010
A,IT109,FOR_ST,9,2,1A,2011,1093.0,2011
A,IT109,FOR_ST,9,2,1A,2012,1073.0,2012
A,IT109,FOR_ST,9,2,1A,2013,1205.0,2013
A,IT109,FOR_ST,9,2,1A,2014,1151.0,2014
